date,time,source_mac,source_ip,source_port,dest_mac,dest_ip,dest_port,protocol,good,allowed
04/20/2018,10:18:82,55:ad:86:ca:53:5e:5d:be,211.186.20.9,48186,27:a5:c1:d9:c4:e0:47:08,154.5.85.175,21585,UDP,0,0
07/23/2018,19:19:83,0d:50:0f:3c:fa:91:f4:54,226.96.74.245,22858,12:3b:4e:a0:89:e2:34:f7,58.55.60.194,63535,TCP,0,0
11/20/2018,10:39:83,ba:f3:ef:bf:03:90:ff:b6,137.159.25.101,32193,ff:2d:dc:51:93:40:ad:fb,247.77.116.24,63281,TCP,0,0
12/14/2018,05:15:83,d0:d2:31:9b:84:8b:6c:eb,136.178.197.196,48743,4f:98:f5:e7:81:be:7e:4b,210.151.40.76,13371,UDP,1,0
04/19/2018,11:41:83,75:f9:37:b0:d5:2b:44:a6,133.222.235.214,51835,07:cb:64:a2:9b:75:03:d8,153.163.28.91,21531,UDP,0,0
11/17/2018,19:50:83,c3:06:a7:57:38:8a:1e:bf,31.81.180.132,823,ca:12:81:76:3c:ba:ea:c7,46.122.27.173,55206,TCP,0,0
07/18/2018,14:39:83,6f:66:db:98:c8:a8:15:8b,34.172.60.160,56788,db:6e:03:a4:09:db:03:98,212.177.200.161,42043,UDP,1,1
03/03/2018,22:17:83,7e:21:74:bb:ae:dc:10:a6,128.133.205.196,249,6e:b1:50:ef:aa:b2:82:e7,224.243.24.166,48240,TCP,1,1
04/05/2018,11:53:83,dd:d3:5c:5c:60:2f:0a:3c,206.65.130.15,24110,05:1d:10:14:bb:ec:1f:38,154.244.202.103,11028,TCP,1,0
06/24/2018,09:01:83,4c:8b:93:6b:8b:b5:d9:37,71.113.17.205,8576,a3:c9:6a:f3:1d:41:1f:98,169.65.154.104,53826,TCP,1,1
06/01/2018,04:43:83,61:f7:80:94:77:6d:da:c2,22.137.192.27,32943,2a:57:a0:20:e2:17:50:53,71.130.177.132,5420,UDP,1,1
07/01/2018,06:42:83,02:62:2c:00:e0:1a:73:56,194.58.148.237,23753,1e:fc:60:dc:c5:68:c8:25,164.202.30.242,257,TCP,1,0
03/16/2018,13:15:83,53:5e:ac:12:35:8d:7d:12,110.225.46.87,22527,b1:99:e6:7d:8b:76:cc:d2,153.180.115.52,14458,UDP,0,0
02/07/2018,06:32:83,6d:de:d3:0d:00:b1:3f:62,57.95.220.110,4141,e2:84:43:69:e4:49:6c:7f,111.167.23.238,20203,UDP,1,0
02/19/2018,06:31:83,8d:29:57:4c:e7:bf:a9:b0,200.7.6.172,57563,bb:25:9c:79:8d:4b:9a:13,15.103.231.218,57921,TCP,0,0
10/26/2018,19:17:83,cd:56:98:64:86:ab:8c:a5,144.158.73.240,53562,44:d1:0e:ec:79:20:7d:42,216.112.49.8,46533,TCP,0,1
06/15/2018,22:21:83,c9:0c:d6:9e:3d:c7:d4:8a,26.62.68.248,51181,9b:9f:2c:63:a9:ed:10:1b,196.2.122.9,27540,TCP,0,1
11/12/2018,22:49:83,f9:2c:c0:1d:a4:dc:61:3b,118.136.1.197,4749,3b:68:6f:2b:c0:65:24:97,218.233.247.141,33046,TCP,0,0
06/27/2018,07:35:83,07:db:c5:fa:38:09:f9:c5,96.61.19.88,28278,ad:2e:4a:c3:a0:3b:37:f9,120.167.62.123,29186,UDP,1,0
04/19/2018,06:09:84,52:fa:c1:d8:40:fc:e3:d7,124.114.57.104,12900,05:59:bf:d8:aa:9f:0c:6c,46.252.68.32,27021,TCP,1,0
12/26/2018,15:10:84,96:6c:2c:7a:74:8e:8d:d6,4.201.89.208,16133,30:a0:a2:52:5d:33:ed:8f,42.28.179.26,8489,TCP,0,0
05/25/2018,04:40:84,b9:0e:c0:50:37:ad:87:e3,200.105.196.117,39052,52:34:d9:e4:ad:3d:65:d7,45.159.153.197,1,UDP,0,1
04/24/2018,17:17:84,3e:08:4c:20:05:43:a1:17,67.21.194.75,7946,82:da:27:d7:c3:0d:06:03,188.53.151.23,59695,TCP,0,0
02/15/2018,16:05:84,23:df:30:79:62:1f:bc:69,75.222.60.235,46414,39:6a:51:d4:e3:5c:7f:78,31.180.233.104,16558,TCP,1,0
11/02/2018,04:11:84,0a:a5:67:f1:48:d2:15:a0,100.57.225.44,31315,7f:a3:4a:82:65:68:b8:a3,93.155.33.50,30932,TCP,0,0
05/01/2018,21:16:84,0b:c1:fa:60:01:03:c4:45,85.93.50.83,39075,9a:f4:fb:d2:84:ee:da:fa,40.103.189.235,4553,UDP,0,1
09/20/2018,05:24:84,49:33:59:c0:f2:6d:30:ca,34.254.216.26,54981,1c:d5:5d:31:71:3b:0e:08,206.228.195.23,55905,UDP,0,0
02/02/2018,22:29:84,f0:02:0d:01:87:e0:07:84,46.123.193.100,42437,54:68:a0:f0:59:00:7a:04,79.79.18.150,60530,TCP,0,0
03/14/2018,12:39:84,03:ca:c7:94:78:62:94:88,229.93.133.213,45990,3c:38:23:ab:f9:51:8b:df,54.6.236.46,189,UDP,0,0
08/30/2018,12:17:84,cb:03:be:ba:69:91:8e:0d,32.127.20.89,65349,e6:a9:5a:b7:35:4b:69:f4,176.222.27.49,33399,UDP,1,1
11/12/2018,16:57:84,00:55:8c:43:84:42:2f:3b,97.241.53.67,45457,ea:95:c9:37:82:85:14:46,47.10.18.237,32979,TCP,1,1
11/06/2018,12:12:84,44:93:f2:35:cf:08:83:bd,188.236.125.45,35230,af:f2:ce:48:ec:ca:90:c8,243.1.72.68,49514,TCP,1,1
12/29/2018,09:23:84,30:77:15:28:34:d7:08:d5,214.158.114.194,47247,29:63:57:d9:98:79:33:40,207.56.84.143,26868,UDP,1,1
07/11/2018,09:19:84,5e:29:c0:30:94:00:d0:8c,69.91.212.175,10103,37:d3:b9:06:46:d2:cb:fe,73.90.94.108,21200,UDP,1,0
10/15/2018,03:25:84,27:40:d7:85:f3:ea:dd:94,39.240.209.57,19643,57:64:65:f9:d8:49:01:0b,159.98.131.78,16484,UDP,1,1
07/05/2018,12:35:84,8d:b4:37:f7:62:87:11:9b,70.187.218.19,61388,21:9a:f1:f3:7b:d3:1a:8d,139.124.203.71,35752,TCP,0,1
06/30/2018,11:31:84,16:80:e5:c5:b5:a0:1f:79,66.42.16.168,20609,86:92:25:10:58:3c:db:22,37.19.234.42,49149,UDP,0,1
06/17/2018,03:42:84,d1:d3:3f:34:01:22:06:ce,113.20.166.79,10943,21:a1:b1:2d:98:46:31:b7,8.142.111.10,21816,TCP,1,0
02/17/2018,04:39:84,ce:3c:86:c9:cd:6d:af:90,215.196.118.69,14029,0c:cf:bf:c9:4b:c0:cb:29,115.203.9.10,50737,UDP,0,1
10/23/2018,15:52:84,cf:5a:47:6c:1e:58:ba:b6,112.219.179.216,2297,8d:bd:1b:12:b8:b6:e4:19,221.133.139.246,33651,TCP,1,0
09/15/2018,00:12:84,43:af:99:e7:61:2c:60:e9,49.61.70.4,7836,e8:32:01:45:a5:15:fa:70,238.68.163.140,37514,UDP,1,1
05/04/2018,10:41:85,9d:b2:db:d5:c4:04:20:e6,60.205.126.120,55657,15:5a:7b:5a:a6:85:4b:6f,127.91.141.228,9776,TCP,0,0
11/05/2018,08:50:85,e7:d3:01:0d:57:ed:92:d6,93.69.242.91,34629,99:ed:66:2e:ad:ce:17:7a,251.104.47.72,58592,UDP,1,1
04/07/2018,13:50:85,cd:b9:39:dd:cb:88:ca:2a,83.246.207.121,1658,76:4a:79:c0:3b:9e:f8:ba,130.113.78.83,27888,UDP,1,0
04/09/2018,20:33:85,91:83:1f:e9:12:f4:38:b1,147.38.213.142,918,b8:df:a4:f2:6c:bc:05:97,131.87.129.248,42646,UDP,0,1
08/19/2018,07:07:85,e7:29:27:b7:c6:86:a2:cd,44.239.35.154,51471,18:cc:84:1d:c5:5c:85:09,84.132.181.27,50331,UDP,0,0
06/04/2018,10:04:85,43:d3:4c:1a:21:b4:76:6a,71.154.181.15,17272,59:eb:54:b9:a3:f1:b7:8c,54.66.29.89,46420,TCP,0,0
12/13/2018,04:09:85,fd:de:01:b9:bb:a7:87:c0,201.163.221.94,40831,5e:33:49:74:a4:2f:7f:4f,166.39.132.14,26154,UDP,0,0
07/20/2018,15:28:85,16:3b:e2:02:91:1e:67:60,20.163.154.227,35522,18:bb:21:84:dd:9f:2f:07,60.56.90.5,54458,TCP,0,0
08/21/2018,01:02:85,62:45:10:96:b6:77:7a:bb,68.121.43.59,16323,97:19:89:84:67:e2:34:0f,76.239.112.80,53504,TCP,1,0
07/11/2018,10:35:85,c1:0f:d5:e7:d3:5f:a2:5a,212.39.111.26,60099,4a:7a:9e:66:3e:bd:dc:27,14.39.84.113,10201,UDP,0,0
12/18/2018,21:10:85,e7:e5:5d:9f:60:5c:71:1a,235.151.162.70,53240,45:5b:84:c6:37:86:ff:c3,111.6.112.2,14792,TCP,0,0
11/23/2018,00:51:85,41:64:68:3b:c6:46:02:90,201.190.9.104,41879,0a:a7:f7:1d:1c:d8:6a:66,110.206.229.131,48966,TCP,1,0
06/01/2018,02:01:85,e1:bb:65:44:ee:75:56:ba,185.147.60.44,14645,66:2d:f9:df:fe:61:d3:d6,91.101.46.239,920,TCP,1,0
08/11/2018,16:26:85,49:58:b1:bd:39:6b:5c:a4,48.248.30.34,17157,7e:e4:23:e9:1a:70:6a:ad,105.70.5.86,50148,UDP,1,1
09/20/2018,08:55:85,2c:f8:4e:fb:97:48:3d:e4,251.10.219.246,59127,24:42:52:d7:6b:de:25:0b,227.195.208.136,11204,TCP,0,1
08/16/2018,18:51:85,37:2f:b7:91:8b:50:a1:cd,92.236.217.157,35566,91:03:5e:73:55:62:dd:13,118.104.221.38,24690,TCP,1,1
05/03/2018,02:06:85,6a:1d:d5:1b:33:d2:5e:8c,242.200.10.234,64573,e2:5d:e5:f0:44:16:d0:bc,82.196.230.38,26571,UDP,0,0
09/27/2018,00:31:85,99:56:ee:77:11:c0:f2:ac,188.104.166.154,43329,56:7d:ae:24:9f:e0:d9:e0,251.101.120.32,29278,TCP,0,1
08/16/2018,10:55:85,99:72:93:d3:ce:20:ed:24,38.140.11.137,23877,53:9b:3d:b9:8c:f3:0c:5d,55.237.222.59,12555,TCP,1,1
03/04/2018,07:54:85,65:ce:40:7f:75:d6:63:33,100.84.160.107,22736,7f:dd:3d:4b:08:08:10:a2,170.8.46.58,18746,TCP,1,1
07/16/2018,08:39:85,ae:31:f2:fd:1c:f8:60:ec,134.79.125.36,64663,34:e8:94:61:1e:a8:e9:c1,112.185.201.111,772,UDP,0,0
12/18/2018,13:48:85,07:ce:76:ab:29:10:0e:06,7.252.240.13,20,55:c7:2a:6b:5b:e0:57:33,58.165.237.35,6220,UDP,0,0
04/17/2018,20:20:85,64:7b:c9:32:b1:31:f6:0b,154.242.46.254,10948,b8:15:20:3e:b3:28:3a:b4,65.209.216.145,39246,UDP,0,0
06/30/2018,11:36:85,c7:08:78:37:f3:b2:6b:46,250.143.140.211,3080,82:3f:8f:ed:4a:15:37:8d,189.19.103.47,4156,UDP,1,1
11/11/2018,11:20:85,fe:a9:f4:e9:ce:ed:d9:fe,21.140.65.244,15792,36:bd:d0:7e:59:16:92:95,222.149.8.45,28542,TCP,1,1
07/26/2018,22:47:85,68:0b:de:fb:7d:37:10:50,146.88.166.227,30141,13:df:17:32:48:e4:57:c7,38.184.226.192,13961,UDP,1,0
07/16/2018,13:38:85,8f:63:57:3a:a0:99:86:c9,237.230.153.218,20559,3b:c4:aa:94:06:3f:55:21,223.179.171.57,4866,TCP,1,1
06/15/2018,19:39:85,f5:e6:8c:71:0b:99:b1:83,237.111.106.90,47166,e9:2e:24:d1:2d:c4:10:3c,49.51.228.160,21273,TCP,1,0
04/04/2018,08:13:85,1b:b0:2f:7e:fc:79:55:b1,247.101.116.36,49212,ec:71:a2:95:54:b5:ce:ee,244.57.36.148,50269,TCP,0,1
11/27/2018,19:33:85,0b:85:f3:f7:7f:65:fb:dd,82.221.199.45,6198,92:e4:a3:6c:f5:de:08:55,96.208.210.97,12363,TCP,1,0
07/03/2018,02:03:86,ba:74:7e:6d:77:72:90:86,44.16.229.61,29956,1a:03:7f:3e:ab:33:10:95,167.121.90.180,21885,UDP,0,0
02/03/2018,10:43:86,a3:50:77:ef:a6:87:92:04,245.167.193.252,63480,de:5e:8b:59:fa:ad:64:28,201.71.237.98,33917,UDP,1,0
03/09/2018,20:03:86,6a:13:8b:ed:5f:a1:89:85,128.59.151.203,51700,d0:a7:2e:ac:72:0e:22:f8,82.50.146.184,34266,TCP,0,1
08/21/2018,11:31:86,d7:68:67:b0:3a:c2:75:96,146.133.207.150,47699,a1:4c:1b:95:e9:c3:20:91,174.211.16.208,56927,TCP,0,1
03/18/2018,09:36:86,3b:7e:4c:9f:d5:7a:f2:8d,39.50.243.13,57671,f0:39:f3:60:7a:cc:a0:45,63.20.165.90,3224,UDP,0,1
08/18/2018,03:28:86,c1:af:7e:fd:64:4c:80:97,79.247.143.253,22238,31:f8:c3:5b:24:0d:ac:33,46.252.105.52,8451,UDP,0,0
07/13/2018,04:50:86,64:51:1d:32:7f:77:d1:71,27.44.27.19,11125,df:24:e1:d7:f8:b3:be:4a,239.28.222.38,25861,TCP,0,0
09/01/2018,10:10:86,c5:5d:4a:13:45:35:80:6e,175.152.92.25,62069,65:45:87:de:ee:01:16:f6,191.25.8.181,2337,UDP,0,1
08/14/2018,17:32:86,b7:0c:ad:db:3c:f6:fa:77,212.31.106.128,732,aa:05:80:18:09:75:d5:5c,237.57.173.88,54537,TCP,1,0
10/11/2018,08:49:86,0c:9c:d4:00:22:6b:1c:73,119.196.168.158,11067,b8:e2:da:3b:ed:42:39:33,148.91.31.4,3097,UDP,0,0
05/15/2018,22:58:86,e3:74:0e:78:99:a7:e4:c7,21.68.87.98,33929,d6:6e:74:b8:82:17:d0:16,138.185.178.237,28568,UDP,0,0
12/25/2018,01:44:86,43:cf:a5:60:56:47:d2:56,154.99.217.135,60504,da:da:95:e6:d1:e5:5c:1c,41.116.93.8,6691,TCP,0,1
06/17/2018,08:41:86,8f:c4:2d:48:b9:3b:cd:fd,64.111.193.148,24265,85:ae:9e:60:29:67:2e:39,86.92.98.198,1277,TCP,0,1
06/29/2018,06:04:86,88:8a:4e:85:c3:01:be:21,202.222.142.92,9709,7c:16:df:24:74:db:53:b6,129.204.74.226,41889,TCP,0,1
09/19/2018,19:23:86,b3:17:20:94:e6:c3:b2:d4,72.37.112.38,30787,02:8e:c6:20:38:87:63:af,86.237.18.10,31450,TCP,0,0
06/20/2018,01:14:86,26:0d:ce:9d:bb:30:d9:fc,192.54.242.161,46571,98:88:f4:23:8e:30:27:7e,28.220.17.44,22645,UDP,1,1
05/22/2018,03:41:86,93:4d:8d:ff:7b:da:90:26,27.229.225.75,5898,0c:75:b7:04:6f:f9:bf:ef,228.222.11.222,13928,UDP,1,1
08/18/2018,11:20:86,dc:81:23:3c:63:f4:91:4c,28.143.32.25,13464,2c:7b:df:9e:1e:ff:4a:e1,238.171.91.115,9899,UDP,0,0
07/07/2018,06:14:86,a8:b9:0b:85:a3:53:f7:d6,83.32.203.112,56,4a:1b:8d:e0:39:e2:9d:3e,218.17.118.222,48450,TCP,1,0
10/12/2018,07:15:86,22:5a:bb:95:d7:6b:10:ce,33.188.118.148,16825,bd:15:09:f2:3e:3e:2c:07,130.240.31.248,42542,TCP,1,0
08/27/2018,18:25:86,56:26:e3:2c:75:04:07:ca,18.204.197.244,3080,17:05:74:c1:26:92:75:f4,4.118.98.42,47415,UDP,0,1
02/03/2018,11:58:86,1f:01:ed:3d:d7:02:11:1d,118.24.128.195,39671,4b:a5:08:99:c1:32:25:cf,152.106.204.64,52385,UDP,1,0
09/01/2018,11:52:86,8f:00:47:f0:a9:d6:b1:ed,251.122.128.147,53266,92:08:b5:58:69:53:7e:2e,180.42.217.68,58106,TCP,0,1
07/03/2018,09:40:86,30:c1:0d:0c:95:d1:fb:52,49.251.190.183,46400,ed:a2:13:45:39:a9:aa:1f,23.99.106.7,3104,TCP,0,0
08/10/2018,22:51:86,af:e4:e7:fe:fe:99:61:c5,251.114.238.58,54397,68:12:4f:10:e1:c5:21:a8,166.70.73.4,30906,TCP,1,1
03/04/2018,06:45:86,cd:d1:fc:3e:2c:3b:09:ca,183.183.245.103,21209,b5:4e:7a:c0:fc:67:8c:c6,56.125.190.28,65460,TCP,1,1
11/13/2018,11:01:86,90:0e:c5:89:8c:c4:d2:b4,70.102.119.132,60558,e6:e8:7b:35:f0:fe:11:f5,72.42.142.50,39462,TCP,0,0
06/03/2018,18:49:86,82:9e:bc:b6:9d:60:b7:6b,130.45.159.4,9729,0a:ef:1f:27:ac:3a:a1:2d,241.26.11.219,53901,UDP,1,1
11/15/2018,02:56:86,ec:ad:b4:01:84:57:c9:32,187.67.8.84,21225,30:89:16:b6:8b:a7:c9:56,25.238.112.40,26216,TCP,0,1
12/18/2018,16:24:86,2f:91:31:16:d9:e9:6c:56,63.162.163.90,18601,37:e4:c5:cd:99:07:ba:89,240.9.224.96,35538,UDP,0,1
12/30/2018,13:45:86,0d:57:c0:9a:a4:d8:8c:a8,98.21.241.244,62723,db:24:bb:f1:4f:d9:1b:29,203.88.220.32,55021,UDP,0,1
03/30/2018,14:45:86,58:6c:e8:6e:dc:fa:d5:b0,5.220.181.167,7651,67:1e:08:23:eb:75:d0:b4,173.252.136.14,19425,UDP,1,0
05/17/2018,07:49:86,bb:35:35:a2:04:10:4e:6e,143.23.138.87,24488,e3:10:fb:0f:76:e0:8c:6f,174.40.188.27,987,TCP,1,1
08/13/2018,14:42:86,0b:88:be:ef:73:4c:e7:81,251.34.70.119,39241,f0:e4:2d:96:8e:c6:d8:f2,175.12.189.206,49407,UDP,1,0
03/01/2018,07:18:86,87:44:84:d6:f5:e1:3d:a6,180.97.86.167,23356,73:94:ce:2e:95:83:db:7d,209.188.111.92,1746,UDP,0,1
07/05/2018,12:31:87,27:ca:e9:0b:96:7c:da:db,54.123.44.115,60804,97:4a:14:ad:08:ee:63:8e,154.213.99.157,25624,UDP,0,1
06/28/2018,09:10:87,c5:fa:3a:7c:34:3a:f7:24,143.216.132.133,330,eb:49:a9:5e:f2:d1:bf:0a,30.198.184.187,56054,UDP,0,0
08/30/2018,04:17:87,32:1d:1d:a6:f2:dc:78:cb,244.245.23.167,55410,5e:33:fe:89:85:3e:6d:ab,188.215.185.28,65475,UDP,0,1
04/13/2018,22:12:87,68:d2:84:f2:7f:c5:64:7e,195.129.216.32,51368,15:66:b4:88:09:6a:45:d3,8.200.72.35,55344,TCP,0,1
11/09/2018,19:50:87,5a:c4:1a:5c:20:31:4a:02,24.23.55.253,36748,cd:1b:80:19:79:0f:cf:95,210.241.152.130,38159,UDP,0,1
09/15/2018,06:14:87,d2:f1:6e:1b:36:91:f8:67,252.127.127.245,28526,5e:ac:2c:cf:62:dc:9c:a4,87.147.150.84,51610,UDP,0,1
05/10/2018,04:10:87,29:d6:18:ab:4e:e1:f8:da,42.23.22.245,21422,2e:bd:90:4a:43:fb:ae:99,58.56.9.234,62450,TCP,0,1
09/08/2018,21:56:87,d8:6c:b2:50:a1:6c:04:b2,152.142.65.8,14937,28:68:05:80:40:d1:80:e6,156.3.172.9,29702,UDP,0,0
02/04/2018,02:52:87,01:9e:82:d5:fb:f7:bb:a5,203.178.125.51,27337,9d:6c:ca:d6:42:c3:4d:a9,150.46.247.115,3935,TCP,0,1
02/11/2018,12:39:87,f8:cd:7f:31:e9:0e:70:9d,159.16.153.236,39670,50:cc:c3:25:63:5f:40:a8,171.240.83.252,27739,UDP,0,0
07/07/2018,21:55:87,5f:1d:29:26:8c:fc:80:02,40.236.161.231,26835,7f:12:dc:f0:7a:0f:5a:95,93.46.133.26,40486,TCP,1,1
07/02/2018,05:20:87,59:dd:ae:8b:3f:da:c3:e8,22.36.37.43,25196,3b:e6:57:34:ae:d1:0b:bb,79.134.232.230,2455,TCP,1,1
06/13/2018,10:08:87,95:4b:ab:c0:1f:c0:c1:04,18.33.252.16,8885,ba:bf:a4:93:11:9a:5e:09,46.109.205.7,49314,TCP,0,0
12/10/2018,11:12:87,cc:4d:84:1b:0f:47:79:15,156.63.153.88,57233,c9:d0:85:3d:69:d6:24:ef,138.123.175.119,65499,TCP,0,0
04/21/2018,00:07:87,fb:eb:ea:a9:75:74:50:fe,61.187.210.54,3880,11:d6:40:97:4f:4c:2a:52,100.14.7.181,2804,TCP,1,1
03/13/2018,02:07:87,8a:c1:81:78:79:a8:95:c0,82.20.30.105,6026,a2:1d:fe:cb:c0:b9:34:06,28.32.28.78,59469,TCP,0,0
07/26/2018,11:21:87,c6:df:b6:22:27:2d:e7:fd,232.234.103.228,57517,72:fb:3e:46:1a:11:23:3b,246.129.43.111,53532,UDP,0,1
10/16/2018,02:44:87,6d:80:24:e4:74:85:30:8a,91.96.242.32,52401,57:9e:2e:5d:fe:3e:3d:29,172.111.77.152,38389,TCP,0,1
02/26/2018,00:33:87,c1:88:97:cd:62:02:36:c2,30.216.97.222,55651,77:e8:7a:80:83:3e:4e:fe,74.69.45.155,48687,UDP,1,1
11/05/2018,16:22:87,96:5e:1d:96:b4:f1:36:65,251.14.9.233,29803,ca:df:30:cd:83:b0:91:27,66.50.232.136,6519,TCP,0,0
09/25/2018,13:33:87,06:d9:5b:70:38:22:74:bb,187.71.51.22,49708,03:c4:94:1e:0f:19:8e:41,74.40.53.33,31892,UDP,1,1
